Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,novi_first
0,"  (0, 0)	1.0",5,1,"  (0, 1)	1.0",1,1,1,yes,3.0,1,1,71,71,74,1
1,"  (0, 0)	1.0",2,4,"  (0, 1)	1.0",2,1,2,yes,0.0,2,0,69,90,88,1
2,"  (0, 0)	1.0",1,3,"  (0, 1)	1.0",1,2,2,yes,4.0,1,1,87,93,91,1
3,"  (0, 1)	1.0",0,0,"  (0, 0)	1.0",1,1,0,no,1.0,2,0,45,56,42,0
4,"  (0, 1)	1.0",2,4,"  (0, 1)	1.0",1,1,2,yes,0.0,1,0,76,78,75,1
5,"  (0, 0)	1.0",1,0,"  (0, 1)	1.0",1,1,1,yes,1.0,1,0,73,84,79,1
6,"  (0, 0)	1.0",1,4,"  (0, 1)	1.0",0,3,0,no,1.0,0,0,85,93,89,0
7,"  (0, 1)	1.0",1,4,"  (0, 0)	1.0",1,1,2,yes,1.0,0,2,41,43,39,1
8,"  (0, 1)	1.0",3,2,"  (0, 0)	1.0",0,2,2,no,3.0,0,2,65,64,68,0
9,"  (0, 0)	1.0",1,2,"  (0, 0)	1.0",1,1,1,yes,2.0,0,1,37,59,50,1
10,"  (0, 1)	1.0",2,0,"  (0, 1)	1.0",1,1,2,yes,1.0,0,0,58,54,52,1
11,"  (0, 1)	1.0",3,0,"  (0, 1)	1.0",1,0,2,yes,1.0,1,0,40,52,43,1
12,"  (0, 0)	1.0",1,2,"  (0, 1)	1.0",1,1,1,no,1.0,0,0,66,82,74,0
13,"  (0, 1)	1.0",0,4,"  (0, 1)	1.0",0,2,2,yes,1.0,0,2,80,73,71,1
14,"  (0, 0)	1.0",0,3,"  (0, 1)	1.0",1,0,2,yes,2.0,0,1,48,53,58,1
15,"  (0, 0)	1.0",2,5,"  (0, 1)	1.0",1,1,2,yes,0.0,0,0,69,75,78,1
16,"  (0, 1)	1.0",2,2,"  (0, 1)	1.0",2,1,2,yes,0.0,1,0,88,89,86,1
17,"  (0, 0)	1.0",1,5,"  (0, 0)	1.0",1,0,2,yes,1.0,1,0,18,32,28,1
18,"  (0, 1)	1.0",2,3,"  (0, 0)	1.0",0,2,2,no,1.0,0,0,46,42,47,0
19,"  (0, 0)	1.0",2,0,"  (0, 0)	1.0",1,1,0,yes,3.0,0,1,50,56,58,1
20,"  (0, 1)	1.0",3,2,"  (0, 1)	1.0",1,1,2,yes,5.0,1,0,66,69,63,1
21,"  (0, 0)	1.0",1,4,"  (0, 0)	1.0",0,1,2,no,2.0,1,0,65,75,70,0
22,"  (0, 1)	1.0",3,6,"  (0, 1)	1.0",1,1,0,yes,5.0,2,0,42,53,51,1
23,"  (0, 0)	1.0",2,5,"  (0, 1)	1.0",1,0,0,no,3.0,2,0,66,71,71,0
24,"  (0, 1)	1.0",3,6,"  (0, 0)	1.0",0,1,2,yes,2.0,1,0,74,71,80,1
25,"  (0, 1)	1.0",0,3,"  (0, 0)	1.0",1,1,1,yes,1.0,1,0,75,76,76,1
26,"  (0, 1)	1.0",1,4,"  (0, 1)	1.0",1,1,2,yes,5.0,1,1,66,53,53,1
27,"  (0, 0)	1.0",2,1,"  (0, 1)	1.0",1,1,2,yes,4.0,1,2,69,70,76,1
28,"  (0, 1)	1.0",2,2,"  (0, 1)	1.0",1,1,2,no,1.0,0,0,70,70,65,0
30,"  (0, 0)	1.0",3,4,"  (0, 1)	1.0",1,2,2,yes,0.0,0,1,66,72,72,1
31,"  (0, 0)	1.0",1,4,"  (0, 1)	1.0",1,2,2,yes,5.0,2,0,63,65,61,1
32,"  (0, 0)	1.0",4,3,"  (0, 0)	1.0",1,0,2,yes,1.0,1,0,56,73,66,1
33,"  (0, 1)	1.0",5,4,"  (0, 1)	1.0",1,1,2,no,2.0,0,0,40,42,38,0
34,"  (0, 1)	1.0",4,4,"  (0, 1)	1.0",1,0,2,yes,0.0,1,0,97,87,82,1
35,"  (0, 1)	1.0",4,0,"  (0, 1)	1.0",0,2,2,no,2.0,1,0,81,81,79,0
36,"  (0, 0)	1.0",3,0,"  (0, 1)	1.0",1,1,1,no,2.0,0,0,76,82,85,0
37,"  (0, 0)	1.0",3,5,"  (0, 0)	1.0",1,1,1,yes,1.0,0,0,51,64,60,1
38,"  (0, 0)	1.0",3,0,"  (0, 0)	1.0",0,1,1,no,1.0,1,0,77,91,90,0
39,"  (0, 1)	1.0",1,0,"  (0, 0)	1.0",1,2,1,yes,5.0,1,0,58,56,58,1
40,"  (0, 1)	1.0",2,0,"  (0, 0)	1.0",1,1,0,yes,0.0,1,0,53,60,52,1
41,"  (0, 0)	1.0",2,0,"  (0, 1)	1.0",1,0,1,no,1.0,2,0,59,74,69,0
43,"  (0, 1)	1.0",1,4,"  (0, 0)	1.0",2,1,1,yes,3.0,1,0,60,65,67,1
44,"  (0, 0)	1.0",4,0,"  (0, 0)	1.0",1,1,2,yes,5.0,1,1,48,55,52,1
45,"  (0, 1)	1.0",1,0,"  (0, 1)	1.0",1,2,2,yes,3.0,1,1,63,53,55,1
47,"  (0, 0)	1.0",2,2,"  (0, 1)	1.0",1,1,1,yes,2.0,0,0,67,72,77,1
51,"  (0, 1)	1.0",5,0,"  (0, 0)	1.0",0,1,1,no,2.0,0,1,76,68,68,0
52,"  (0, 1)	1.0",2,4,"  (0, 1)	1.0",1,0,1,yes,3.0,1,2,56,45,43,1
53,"  (0, 1)	1.0",3,2,"  (0, 1)	1.0",1,2,2,yes,2.0,1,0,88,78,75,1
54,"  (0, 0)	1.0",5,5,"  (0, 0)	1.0",0,1,1,yes,2.0,0,2,75,86,90,1
55,"  (0, 0)	1.0",2,2,"  (0, 0)	1.0",1,0,2,yes,2.0,0,0,33,41,43,1
56,"  (0, 0)	1.0",4,0,"  (0, 1)	1.0",0,1,2,yes,3.0,1,2,84,86,87,1
57,"  (0, 1)	1.0",3,0,"  (0, 1)	1.0",1,2,2,no,2.0,0,0,52,55,49,0
58,"  (0, 1)	1.0",3,6,"  (0, 1)	1.0",0,1,1,no,1.0,0,2,61,60,60,0
59,"  (0, 0)	1.0",2,5,"  (0, 0)	1.0",1,2,1,yes,3.0,1,2,0,17,10,1
61,"  (0, 1)	1.0",0,5,"  (0, 0)	1.0",1,1,2,yes,2.0,1,0,39,39,34,1
62,"  (0, 1)	1.0",0,0,"  (0, 0)	1.0",1,1,2,yes,5.0,0,0,62,61,55,1
64,"  (0, 0)	1.0",3,5,"  (0, 1)	1.0",1,1,2,yes,0.0,1,0,59,58,59,1
65,"  (0, 1)	1.0",1,5,"  (0, 1)	1.0",1,1,0,yes,1.0,0,1,63,62,58,1
66,"  (0, 1)	1.0",3,5,"  (0, 0)	1.0",1,1,2,yes,4.0,1,0,45,37,37,1
67,"  (0, 0)	1.0",2,4,"  (0, 1)	1.0",1,1,1,no,3.0,1,0,61,73,75,0
68,"  (0, 1)	1.0",1,0,"  (0, 0)	1.0",1,0,1,no,3.0,1,0,62,58,57,0
69,"  (0, 0)	1.0",2,0,"  (0, 1)	1.0",1,2,2,yes,3.0,1,0,39,64,57,1
71,"  (0, 1)	1.0",3,4,"  (0, 1)	1.0",0,0,2,yes,3.0,0,2,64,55,64,1
72,"  (0, 0)	1.0",0,0,"  (0, 0)	1.0",1,2,1,nein,1.0,0,0,42,51,49,0
73,"  (0, 1)	1.0",2,5,"  (0, 0)	1.0",1,0,0,yes,3.0,1,0,59,56,54,1
74,"  (0, 1)	1.0",2,5,"  (0, 1)	1.0",2,1,2,yes,2.0,0,1,47,48,40,1
75,"  (0, 1)	1.0",1,0,"  (0, 0)	1.0",1,0,2,no,2.0,1,0,44,41,38,0
76,"  (0, 1)	1.0",4,5,"  (0, 1)	1.0",1,1,2,no,5.0,1,0,28,25,21,0
77,"  (0, 1)	1.0",0,6,"  (0, 1)	1.0",0,1,1,yes,2.0,2,0,82,79,83,1
78,"  (0, 0)	1.0",3,5,"  (0, 1)	1.0",0,0,2,yes,2.0,1,2,62,75,73,1
79,"  (0, 0)	1.0",4,3,"  (0, 1)	1.0",1,0,0,yes,1.0,1,0,60,68,68,1
80,"  (0, 0)	1.0",1,0,"  (0, 1)	1.0",1,1,1,nope,0.0,0,2,49,50,52,0
81,"  (0, 1)	1.0",1,2,"  (0, 0)	1.0",1,1,2,yes,0.0,0,0,49,45,45,1
82,"  (0, 1)	1.0",0,4,"  (0, 0)	1.0",0,1,2,no,2.0,1,0,50,47,54,0
83,"  (0, 1)	1.0",4,0,"  (0, 1)	1.0",1,1,1,yes,0.0,0,0,74,64,64,1
85,"  (0, 0)	1.0",2,4,"  (0, 1)	1.0",1,0,2,yes,0.0,0,0,73,80,82,1
86,"  (0, 0)	1.0",2,4,"  (0, 0)	1.0",1,1,2,yes,2.0,1,1,73,81,86,1
87,"  (0, 0)	1.0",3,0,"  (0, 1)	1.0",1,2,2,yes,0.0,0,0,71,71,74,1
88,"  (0, 0)	1.0",0,4,"  (0, 1)	1.0",1,0,1,yes,3.0,1,1,57,69,67,1
89,"  (0, 0)	1.0",3,5,"  (0, 1)	1.0",1,2,2,yes,2.0,0,2,75,87,83,1
91,"  (0, 1)	1.0",2,2,"  (0, 0)	1.0",1,0,1,no,4.0,2,0,27,34,36,0
92,"  (0, 1)	1.0",2,2,"  (0, 1)	1.0",1,0,2,no,1.0,2,1,68,77,69,0
93,"  (0, 1)	1.0",2,0,"  (0, 0)	1.0",0,1,1,ye,3.0,0,2,45,46,52,1
94,"  (0, 0)	1.0",1,4,"  (0, 1)	1.0",1,1,1,yes,4.0,0,0,81,87,94,1
96,"  (0, 1)	1.0",1,5,"  (0, 1)	1.0",0,1,1,yes,5.0,1,0,63,65,61,1
97,"  (0, 0)	1.0",5,4,"  (0, 1)	1.0",0,1,0,yes,0.0,1,1,59,69,66,1
98,"  (0, 0)	1.0",3,4,"  (0, 0)	1.0",1,2,1,yes,2.0,2,2,61,69,64,1
99,"  (0, 0)	1.0",3,1,"  (0, 1)	1.0",1,1,1,yes,3.0,1,1,64,66,62,1
100,"  (0, 1)	1.0",1,4,"  (0, 1)	1.0",1,1,2,no,7.0,1,0,79,67,67,0
101,"  (0, 1)	1.0",3,1,"  (0, 1)	1.0",0,2,2,no,1.0,0,0,68,74,74,0
